request_id,connection_ms,handshake_ms,tool_call_ms,total_time_ms,status
65,0.000,0.000,0.000,120.096,error: unhandled errors in a TaskGroup (1 sub-exception)
66,0.000,0.000,0.000,120.384,error: unhandled errors in a TaskGroup (1 sub-exception)
67,0.000,0.000,0.000,120.528,error: unhandled errors in a TaskGroup (1 sub-exception)
68,0.000,0.000,0.000,120.097,error: unhandled errors in a TaskGroup (1 sub-exception)
69,0.000,0.000,0.000,120.595,error: unhandled errors in a TaskGroup (1 sub-exception)
70,0.000,0.000,0.000,120.159,error: unhandled errors in a TaskGroup (1 sub-exception)
71,0.000,0.000,0.000,120.257,error: unhandled errors in a TaskGroup (1 sub-exception)
72,0.000,0.000,0.000,122.365,error: unhandled errors in a TaskGroup (1 sub-exception)
73,0.000,0.000,0.000,120.036,error: unhandled errors in a TaskGroup (1 sub-exception)
74,0.000,0.000,0.000,120.337,error: unhandled errors in a TaskGroup (1 sub-exception)
75,0.000,0.000,0.000,120.263,error: unhandled errors in a TaskGroup (1 sub-exception)
76,0.000,0.000,0.000,122.006,error: unhandled errors in a TaskGroup (1 sub-exception)
77,0.000,0.000,0.000,120.111,error: unhandled errors in a TaskGroup (1 sub-exception)
78,0.000,0.000,0.000,120.439,error: unhandled errors in a TaskGroup (1 sub-exception)
79,0.000,0.000,0.000,120.087,error: unhandled errors in a TaskGroup (1 sub-exception)
80,0.000,0.000,0.000,121.292,error: unhandled errors in a TaskGroup (1 sub-exception)
81,0.000,0.000,0.000,120.466,error: unhandled errors in a TaskGroup (1 sub-exception)
82,0.000,0.000,0.000,120.709,error: unhandled errors in a TaskGroup (1 sub-exception)
83,0.000,0.000,0.000,120.022,error: unhandled errors in a TaskGroup (1 sub-exception)
84,0.000,0.000,0.000,123.299,error: unhandled errors in a TaskGroup (1 sub-exception)
85,0.000,0.000,0.000,120.520,error: unhandled errors in a TaskGroup (1 sub-exception)
86,0.000,0.000,0.000,120.102,error: unhandled errors in a TaskGroup (1 sub-exception)
87,0.000,0.000,0.000,141.675,error: unhandled errors in a TaskGroup (1 sub-exception)
88,0.000,0.000,0.000,120.369,error: unhandled errors in a TaskGroup (1 sub-exception)
89,0.000,0.000,0.000,120.218,error: unhandled errors in a TaskGroup (1 sub-exception)
90,0.000,0.000,0.000,119.965,error: unhandled errors in a TaskGroup (1 sub-exception)
91,0.000,0.000,0.000,120.333,error: unhandled errors in a TaskGroup (1 sub-exception)
92,0.000,0.000,0.000,126.396,error: unhandled errors in a TaskGroup (1 sub-exception)
93,0.000,0.000,0.000,120.220,error: unhandled errors in a TaskGroup (1 sub-exception)
94,0.000,0.000,0.000,120.078,error: unhandled errors in a TaskGroup (1 sub-exception)
95,0.000,0.000,0.000,119.954,error: unhandled errors in a TaskGroup (1 sub-exception)
96,0.000,0.000,0.000,121.995,error: unhandled errors in a TaskGroup (1 sub-exception)
97,0.000,0.000,0.000,120.214,error: unhandled errors in a TaskGroup (1 sub-exception)
98,0.000,0.000,0.000,120.101,error: unhandled errors in a TaskGroup (1 sub-exception)
99,0.000,0.000,0.000,121.588,error: unhandled errors in a TaskGroup (1 sub-exception)
100,0.000,0.000,0.000,121.365,error: unhandled errors in a TaskGroup (1 sub-exception)
